,12歳～19歳,12歳～19歳,12歳～19歳,20歳代,20歳代,20歳代,30歳代,30歳代,30歳代,40歳代,40歳代,40歳代,50歳代,50歳代,50歳代,60～64歳,60～64歳,60～64歳,65～69歳,65～69歳,65～69歳,70歳代,70歳代,70歳代,80歳代,80歳代,80歳代,90歳代,90歳代,90歳代,100歳以上,100歳以上,100歳以上
,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者,人口,1回以上接種者,2回接種完了者
2022/01/24,9010292,6839288,6710684,12819569,10201675,10064522,14372705,11479921,11361272,18424463,15376812,15274134,16810584,15286075,15215798,7412109,6735781,6713942,8098283,7197489,7178382,16227232,15285747,15240348,9058480,8837738,8794857,2303363,2235466,2218331,80636,75853,74800
2022/01/17,9010292,6826826,6705965,12819569,10175633,10039219,14372705,11462758,11344651,18424463,15366196,15262205,16810584,15268008,15195684,7412109,6729939,6707595,8098283,7202524,7183115,16227232,15280975,15235606,9058480,8823876,8781198,2303363,2231332,2214183,80636,75618,74547
2022/01/11,9010292,6813218,6683087,12819569,10153113,10007848,14372705,11445607,11319743,18424463,15357859,15246196,16810584,15251798,15173983,7412109,6725474,6701444,8098283,7207086,7186659,16227232,15277230,15230069,9058480,8813715,8769981,2303363,2227942,2210362,80636,75429,74338
2022/12/27,9010292,6791594,6642817,12819569,9788471,9653530,14372705,11196784,11073215,18424463,15244363,15125766,16810584,15149957,15065421,7412109,6698700,6672032,8098283,7195068,7173906,16227232,15239823,15191157,9058480,8743612,8699291,2303363,2194787,2177331,80636,73400,72340
2021/12/27,9010292,6791594,6642817,12819569,9788471,9653530,14372705,11196784,11073215,18424463,15244363,15125766,16810584,15149957,15065421,7412109,6698700,6672032,8098283,7195068,7173906,16227232,15239823,15191157,9058480,8743612,8699291,2303363,2194787,2177331,80636,73400,72340
2021/12/20,9010292,6770710,6598022,12819569,9760519,9602903,14372705,11176040,11030511,18424463,15221168,15082426,16810584,15115782,15016446,7412109,6687887,6656485,8098283,7196600,7172876,16227232,15228317,15175916,9058480,8734945,8688274,2303363,2194474,2175830,80636,73504,72384
2021/12/13,9010292,6752355,6544334,12819569,9731725,9538930,14372705,11150705,10969027,18424463,15194008,15022035,16810584,15079959,14956238,7412109,6677295,6638727,8098283,7197433,7171024,16227232,15218238,15161344,9058480,8723058,8673695,2303363,2191825,2172348,80636,73368,72224
2021/12/06,9010292,6734659,6476333,12819569,9701345,9465259,14372705,11125494,10904890,18424463,15166788,14961005,16810584,15044846,14899404,7412109,6669498,6625189,8098283,7202537,7172742,16227232,15216173,15153100,9058480,8712100,8658896,2303363,2190303,2169332,80636,73284,72070
2021/11/29,9010292,6693882,6360204,12819569,9649561,9342335,14372705,11080138,10801256,18424463,15119389,14864187,16810584,14994709,14816649,7412109,6658551,6605519,8098283,7202907,7169548,16227232,15208198,15139490,9058480,8697306,8640843,2303363,2185737,2163676,80636,72911,71655
2021/11/22,9010292,6649824,6186835,12819569,9591814,9158424,14372705,11029766,10631359,18424463,15072819,14711116,16810584,14946545,14700276,7412109,6647111,6578437,8098283,7203564,7164325,16227232,15200968,15123751,9058480,8683000,8621933,2303363,2181131,2157587,80636,72594,71258
2021/11/15,9010292,6581314,5875877,12819569,9498430,8857325,14372705,10950613,10338898,18424463,14993752,14435492,16810584,14877757,14506554,7412109,6630734,6531883,8098283,7201952,7150364,16227232,15190578,15095765,9058480,8669084,8599524,2303363,2177297,2151210,80636,72373,70944
2021/11/08,9010292,6469289,5475357,12819569,9355333,8459925,14372705,10829966,9954024,18424463,14877308,14078849,16810584,14779869,14263598,7412109,6607573,6475913,8098283,7196359,7132663,16227232,15176618,15064058,9058480,8652086,8573575,2303363,2172370,2143486,80636,72009,70450
2021/11/01,9010292,6319526,4984356,12819569,9186815,7996812,14372705,10678487,9473459,18424463,14738827,13628177,16810584,14668481,13975643,7412109,6582131,6411299,8098283,7190334,7112993,16227232,15162217,15029393,9058480,8635123,8546284,2303363,2167428,2135615,80636,71744,70072
2021/10/25,9010292,6026586,4305468,12819569,8866820,7315157,14372705,10384760,8740955,18424463,14466393,12903589,16810584,14465320,13523276,7412109,6532162,6309324,8098283,7171815,7079091,16227232,15124209,14969554,9058480,8605183,8506066,2303363,2157181,2122435,80636,71192,69417
2021/10/18,9010292,5628624,3637620,12819569,8459142,6615197,14372705,10003981,7954468,18424463,14116046,12073909,16810584,14230087,13013142,7412109,6477267,6202410,8098283,7155769,7050577,16227232,15099755,14928335,9058480,8585356,8477773,2303363,2150406,2113411,80636,70715,68911
