年月日,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,URL
,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,不明等,合計,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,不明等,合計,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,不明等,合計,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,不明等,合計,
2022/3/7,625724,689146,1005264,820159,793142,541432,295284,220043,220165,22963,5233322,1,7,34,104,339,964,1939,5428,15470,22963,25063,35608,27974,21662,26987,25817,14932,10376,9218,14262,22963,234107,5,1,4,6,17,63,98,217,142,22963,717,https://www.mhlw.go.jp/content/10906000/000910933.pdf
2022/3/1,551759,628038,952579,759752,733092,505142,274842,205588,203871,22155,4836818,0,7,32,98,334,940,1857,5129,14368,846,23611,38009,29354,23190,28997,28446,16572,11719,10710,16235,52079,255311,5,2,4,7,19,69,113,262,190,174,845,https://www.mhlw.go.jp/content/10906000/000906140.pdf
2022/2/22,475983,566588,899112,695157,668639,466789,251810,188669,183781,21276,4417804,0,6,32,98,323,910,1784,4844,13186,778,21961,43539,37048,32112,36846,36527,20257,14263,12730,18128,43348,294798,5,0,5,7,27,65,129,273,219,188,918,https://www.mhlw.go.jp/content/10906000/000902156.pdf
2022/2/15,391141,492545,829802,616937,589137,417666,221336,165081,156766,20050,3900461,0,4,30,96,315,886,1719,4588,12088,693,20419,40303,36744,34098,36674,35529,22035,15013,13445,17614,42963,294418,5,1,3,6,31,52,112,203,178,182,773,https://www.mhlw.go.jp/content/10906000/000898832.pdf
2022/2/8,308947,417241,754860,534630,505804,365365,189363,140130,129796,18630,3364766,0,4,28,92,306,858,1669,4411,11355,687,19410,37276,35325,35098,35256,34315,21470,13912,11107,12955,72722,309436,6,2,5,8,25,39,66,136,134,155,576,https://www.mhlw.go.jp/content/10906000/000896131.pdf
2022/2/1,224820,337258,666147,445319,417534,310064,156267,114735,105805,17184,2795133,0,4,29,87,303,844,1661,4326,10988,558,18800,28956,30889,33012,28975,28316,17693,10847,8302,8661,52926,248577,2,2,3,4,21,30,41,66,59,101,329,https://www.mhlw.go.jp/content/10906000/000892513.pdf
2022/1/25,153043,261789,573455,365049,340198,261547,129364,95225,88327,15574,2283571,0,4,27,88,294,841,1648,4277,10840,509,18528,14735,20936,26867,16503,16429,10849,6231,4394,4233,29776,150953,1,0,4,3,9,13,12,33,28,52,155,https://www.mhlw.go.jp/content/10906000/000888134.pdf
2022/1/18,110353,207057,495220,312037,291658,229856,113314,84372,79013,14142,1937022,0,4,27,85,294,836,1638,4248,10734,14142,18436,4764,10140,18631,7827,7486,5496,2898,1942,2004,10734,68484,1,0,1,1,5,6,9,15,11,32,81,https://www.mhlw.go.jp/content/10906000/000884207.pdf
2022/1/11,97303,180497,443500,289410,271669,215850,106755,80231,75710,13456,1774381,0,3,27,85,292,835,1635,4242,10717,567,18403,829,1586,4499,2006,1595,1224,659,475,534,1512,14919,0,0,0,1,2,4,5,5,3,22,42,https://www.mhlw.go.jp/content/10906000/000880011.pdf
2022/1/4,95055,175721,427815,283200,267141,212316,105111,79142,74717,13253,1733471,0,3,27,86,292,836,1634,4241,10712,562,18393,175,123,306,279,245,149,104,115,172,373,2041,0,0,0,1,3,2,2,2,1,9,20,https://www.mhlw.go.jp/content/10906000/000876867.pdf
2021/12/21,94554,175329,426360,282139,266363,211699,104788,78895,74369,13230,1727726,0,3,27,85,292,834,1636,4238,10707,553,18375,60,69,130,110,92,70,53,50,78,191,903,0,0,0,0,3,4,6,2,1,3,19,https://www.mhlw.go.jp/content/10906000/000871839.pdf
2021/12/14,94453,175270,426080,281941,266180,211562,104705,78831,74297,13240,1726559,0,3,27,85,292,831,1632,4235,10698,567,18370,91,36,83,88,84,53,47,38,54,143,717,0,0,0,0,3,3,4,4,3,2,19,https://www.mhlw.go.jp/content/10906000/000867691.pdf
2021/12/7,94351,175201,425922,281825,266068,211468,104650,78788,74232,13231,1725736,0,3,27,85,292,830,1631,4235,10693,566,18362,37,35,75,81,56,43,50,52,78,138,645,0,0,0,0,3,3,4,4,1,6,21,https://www.mhlw.go.jp/content/10906000/000864405.pdf
2021/11/30,94265,175163,425664,281640,265889,211336,104563,78736,74165,13257,1724678,0,3,26,85,290,828,1629,4234,10693,567,18355,27,43,52,62,51,45,53,55,112,108,608,0,0,0,1,4,6,8,5,2,8,34,https://www.mhlw.go.jp/content/10906000/000861520.pdf
2021/11/23,94198,175121,425404,281425,265754,211146,104489,78653,74113,13403,1723706,0,3,26,85,290,824,1628,4234,10691,564,18345,35,35,81,72,63,48,60,68,130,174,766,0,0,0,1,4,12,11,8,2,10,48,https://www.mhlw.go.jp/content/10906000/000858415.pdf
2021/11/16,94083,175051,425199,281225,265617,211003,104384,78572,73984,13473,1722591,0,3,26,85,288,821,1628,4224,10684,566,18325,61,64,102,102,82,68,65,70,105,199,918,0,0,0,3,5,15,10,9,5,12,59,https://www.mhlw.go.jp/content/10906000/000856384.pdf
2021/11/9,93901,174898,424816,280909,265368,210783,104265,78469,73848,13563,1720820,0,3,26,85,287,816,1626,4228,10672,563,18306,62,69,116,114,97,81,93,85,110,300,1127,0,0,0,4,5,22,15,11,4,13,74,https://www.mhlw.go.jp/content/10906000/000853641.pdf
2021/11/2,93668,174716,424320,280569,265068,210535,104113,78365,73742,13637,1718733,0,3,25,86,285,812,1612,4223,10656,564,18266,70,72,165,140,139,119,110,135,157,225,1332,0,0,1,4,11,26,20,14,5,15,96,https://www.mhlw.go.jp/content/10906000/000851723.pdf
2021/10/26,93258,174191,423363,279827,264424,210031,103826,78166,73561,13760,1714407,0,3,25,83,283,805,1601,4205,10624,562,18191,86,120,273,217,201,199,147,164,206,220,1833,0,0,2,10,15,40,27,19,10,27,150,https://www.mhlw.go.jp/content/10906000/000848532.pdf
2021/10/19,92845,173674,422306,279074,263737,209450,103562,77945,73370,13814,1709777,0,3,24,82,280,785,1584,4192,10587,560,18097,200,200,384,384,338,322,235,197,257,439,2956,0,1,2,9,33,67,37,28,14,19,210,https://www.mhlw.go.jp/content/10906000/000846095.pdf
