,10歳未満,10歳未満,10歳未満,10歳未満,10代,10代,10代,10代,20代,20代,20代,20代,30代,30代,30代,30代,40代,40代,40代,40代,50代,50代,50代,50代,60代,60代,60代,60代,70代,70代,70代,70代,80代,80代,80代,80代,90歳以上,90歳以上,90歳以上,90歳以上
,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計,入院中,入院調整中,療養中,合計
2022-03-12,5,226,1059,1290,0,142,855,997,9,111,708,828,9,173,814,996,6,142,780,928,12,56,389,457,22,61,267,350,35,26,136,197,46,36,137,219,28,13,62,103
2022-03-11,5,136,1071,1212,0,97,861,958,6,75,709,790,8,110,809,927,6,100,787,893,10,38,382,430,23,38,259,320,34,23,136,193,46,32,140,218,28,13,62,103
2022-03-10,5,162,1036,1203,0,104,854,958,7,105,694,806,6,117,790,913,6,104,788,898,10,52,372,434,23,36,254,313,32,23,136,191,45,33,145,223,25,10,68,103
2022-03-09,4,160,1045,1209,0,123,840,963,7,117,685,809,8,115,800,923,6,119,795,920,21,52,389,462,31,37,272,340,48,25,165,238,76,33,171,280,46,10,76,132
2022-03-08,6,158,1023,1187,1,125,792,918,8,70,679,757,8,106,795,909,9,96,764,869,23,55,360,438,32,37,254,323,56,27,166,249,74,29,189,292,46,10,89,145
2022-03-07,3,119,1108,1230,1,69,851,921,7,51,702,760,8,82,908,998,9,78,794,881,20,32,396,448,33,25,267,325,55,23,183,261,73,28,207,308,48,8,92,148
2022-03-06,3,125,1114,1242,2,86,854,942,8,70,702,780,11,102,926,1039,8,104,790,902,23,48,392,463,38,21,285,344,59,23,189,271,83,27,210,320,54,8,93,155
2022-03-05,2,168,1024,1194,2,101,817,920,7,95,654,756,10,119,852,981,7,97,765,869,22,46,390,458,37,33,274,344,57,28,187,272,79,33,208,320,53,9,94,156
2022-03-04,0,145,979,1124,2,103,788,893,6,97,624,727,9,116,829,954,7,117,728,852,23,43,402,468,37,31,281,349,55,25,195,275,82,27,211,320,53,10,93,156
