年月日,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,陽性者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,死亡者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,入院者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,重症者数,URL
,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,合計,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,合計,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,合計,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,合計,Unnamed: 41_level_1
2021-09-08,78207,155389,389806,254458,240526,193470,96730,73144,68995,1564004,0,1,17,46,159,413,1097,3202,8674,13974,4007,6772,17905,12703,13049,11819,7121,6593,6078,87305,0,1,0,4,45,118,123,167,88,570,https://www.mhlw.go.jp/content/10906000/000830345.pdf
2021-09-01,68929,142019,366265,237290,224412,182270,92747,70694,67052,1464677,0,0,14,44,144,390,1066,3172,8606,13790,4253,7636,20632,14286,14370,12549,7233,6642,6106,94961,0,0,0,4,45,103,119,160,89,540,https://www.mhlw.go.jp/content/10906000/000826874.pdf
2021-08-25,57575,123075,331279,213886,202171,166804,87660,67749,64808,1327470,0,0,13,41,133,355,1037,3144,8524,13585,4199,8002,23004,15569,15207,13071,7326,6548,6103,100276,0,1,0,2,48,99,115,151,88,515,https://www.mhlw.go.jp/content/10906000/000823800.pdf
2021-08-18,47448,102775,287135,187844,178173,150106,82164,64832,62543,1174618,0,0,10,37,129,346,1025,3119,8461,13459,3721,7393,22020,14907,14692,12780,7192,6313,5866,96127,0,0,0,1,43,88,111,146,85,482,https://www.mhlw.go.jp/content/10906000/000820306.pdf
2021-08-11,39710,87553,252840,165569,157277,134901,77201,62728,60834,1049759,0,0,10,33,120,334,1009,3100,8403,13334,3392,6940,21755,14536,13826,11980,6938,6207,5679,92494,0,0,0,1,37,81,106,141,82,454,https://www.mhlw.go.jp/content/10906000/000818427.pdf
2021-08-04,34288,76727,225548,148315,141741,123425,73585,61368,59691,955493,0,0,9,30,117,323,1002,3088,8377,13268,2836,6118,18891,12345,12123,10594,6516,5980,5511,82155,0,0,0,1,32,71,103,140,81,434,https://www.mhlw.go.jp/content/10906000/000816691.pdf
2021-07-28,30813,68613,201758,134145,130003,114826,70864,60251,58905,880752,0,0,9,29,116,317,990,3076,8346,13200,2547,5034,14380,9810,10374,9348,6192,5884,5390,70196,0,0,0,1,27,65,100,137,79,414,https://www.mhlw.go.jp/content/10906000/000813216.pdf
2021-07-21,29198,64693,190752,127316,124096,110337,69402,59711,58508,844436,0,0,8,29,114,313,982,3062,8324,13142,2270,4674,13055,8817,9556,8750,6036,5791,5322,65459,0,0,0,0,27,65,99,137,79,411,https://www.mhlw.go.jp/content/10906000/000809637.pdf
2021-07-14,28113,62328,183853,123122,120154,107329,68327,59238,58182,821007,0,0,8,27,111,313,971,3047,8270,13040,2123,4389,12011,8155,8979,8273,5869,5719,5280,61915,1,0,0,1,27,63,99,138,79,412,https://www.mhlw.go.jp/content/10906000/000807083.pdf
2021-07-07,27402,60829,179428,120333,117509,105224,67467,58760,57881,805184,0,0,8,27,108,308,956,3019,8223,12932,2042,4276,11534,7811,8607,8043,5758,5689,5295,60157,0,0,0,0,29,63,98,139,79,416,https://www.mhlw.go.jp/content/10906000/000803404.pdf
