,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,266,52,44,100,195,235,331,591,867,1147,1799,2939,6065,6935,9848,14926,20347,21537,16050,7880,1969,30
Se01 結核,0,0,0,0,0,0,1,1,0,2,0,4,5,14,17,21,31,46,26,6,0,0
Se02 悪性新生物＜腫瘍＞,13,11,11,15,14,27,62,120,239,369,697,1228,2736,3014,3911,4920,5122,3816,1910,625,84,4
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,5,13,42,51,112,146,176,148,113,82,30,11,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,3,2,9,16,18,26,89,145,341,429,585,662,702,590,292,90,8,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,1,1,3,1,7,17,31,50,99,226,226,334,403,454,378,228,88,10,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,2,7,10,22,33,87,152,174,173,160,158,116,67,28,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,1,0,0,0,1,2,1,16,16,42,88,251,274,365,536,500,293,121,23,7,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,1,1,6,6,27,35,91,115,164,265,253,255,132,56,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,5,9,7,22,58,107,264,277,362,399,405,283,136,31,6,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,13,31,52,107,222,517,621,810,1026,1111,769,343,104,12,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,6,16,38,58,71,106,142,107,100,101,95,79,38,20,2,1
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,5,4,9,18,22,31,47,71,37,45,60,51,36,24,6,1,0
Se13 白血病,4,5,3,3,3,5,5,4,10,16,13,32,61,68,86,101,113,63,21,9,2,0
Se14 糖尿病,0,0,0,0,1,1,2,6,13,15,23,39,108,112,134,230,271,243,141,55,9,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,3,6,4,7,6,23,25,35,84,113,169,174,109,32,1
Se16 心疾患（高血圧性を除く）,3,2,1,6,8,15,38,58,128,165,234,411,882,1032,1546,2449,3743,4225,3325,1637,391,1
Se17 急性心筋梗塞,0,0,0,0,0,1,5,11,34,46,83,139,270,295,472,640,926,863,573,200,25,0
Se18 その他の虚血性心疾患,0,0,0,1,1,3,13,19,32,44,53,97,231,284,396,583,734,680,436,197,34,1
Se19 不整脈及び伝導障害,1,0,0,2,2,4,7,12,21,24,28,61,139,169,226,365,586,636,431,195,43,0
Se20 心不全,0,1,0,1,3,4,7,8,21,35,48,70,164,197,320,609,1112,1614,1526,905,252,0
Se21 脳血管疾患,1,0,0,3,3,5,15,37,65,94,177,262,478,593,839,1454,2165,2427,1784,798,170,2
Se22 くも膜下出血,1,0,0,1,2,1,5,17,32,40,68,79,126,109,108,167,190,184,82,22,4,0
Se23 脳内出血,0,0,0,2,1,4,9,19,28,46,88,138,228,273,324,453,589,520,271,104,17,1
Se24 脳梗塞,0,0,0,0,0,0,0,1,3,7,16,36,110,198,386,784,1344,1672,1391,657,144,0
Se25 大動脈瘤及び解離,0,0,0,0,0,2,1,7,9,18,22,35,91,128,151,228,321,308,150,54,8,0
Se26 肺炎,7,4,2,1,0,0,4,12,12,14,39,86,208,329,655,1339,2356,3045,2589,1337,296,2
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,1,1,0,1,2,8,26,50,114,235,408,374,202,69,11,0
Se28 喘息,0,0,0,0,1,0,1,3,2,1,2,2,5,7,9,18,35,38,46,19,5,0
Se29 肝疾患,2,0,0,0,1,0,5,22,31,59,88,114,171,178,193,204,188,120,57,17,1,0
Se30 腎不全,1,0,0,0,0,0,0,3,5,9,12,26,67,81,139,277,476,620,468,209,32,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,4,10,33,116,473,1063,1646,1356,575,0
Se32 不慮の事故,11,4,8,19,30,28,45,45,62,72,94,150,233,257,374,625,729,737,458,176,36,6
Se33 交通事故,3,1,1,14,13,11,17,16,21,20,18,41,52,40,40,58,48,38,13,1,0,0
Se34 自殺,0,0,9,38,103,112,104,178,174,179,176,179,214,158,129,94,76,36,19,4,2,7
